                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0454,                 1.0703,                 1.1687,                      1,                0.99456,                  0.995,                0.77648,                0.92248,                 1.0298,                 1.1964,              7.954e-05,              7.954e-05,              7.954e-05
                     34,                 0.9941,                 1.0097,                 1.1846,                      1,                0.98409,                  0.995,                0.77648,                0.91762,                 1.0018,                 1.1962,              7.888e-05,              7.888e-05,              7.888e-05
                     35,                0.96975,                 0.9159,                 1.1744,                      1,                0.95558,                  0.995,                0.77648,                0.91829,                0.98202,                 1.1958,              7.822e-05,              7.822e-05,              7.822e-05
                     36,                0.93915,                0.93166,                 1.1463,                0.86175,                      1,                0.98167,                0.77577,                0.91378,                 0.9359,                 1.1895,              7.756e-05,              7.756e-05,              7.756e-05
                     37,                0.93628,                0.87262,                 1.1394,                0.86673,                      1,                0.98167,                0.78329,                0.91128,                0.91277,                 1.1905,               7.69e-05,               7.69e-05,               7.69e-05
                     38,                0.94608,                0.87644,                 1.1573,                0.87002,                      1,                0.98167,                0.77432,                0.90278,                0.88634,                 1.1847,              7.624e-05,              7.624e-05,              7.624e-05
                     39,                0.94469,                0.84148,                  1.165,                0.87259,                      1,                0.98167,                0.77322,                0.89794,                0.86159,                 1.1782,              7.558e-05,              7.558e-05,              7.558e-05
                     40,                0.92577,                0.83463,                 1.1295,                 0.8712,                      1,                0.98167,                0.79019,                0.87825,                 0.8236,                 1.1621,              7.492e-05,              7.492e-05,              7.492e-05
                     41,                0.86277,                0.80033,                 1.1272,                0.87176,                      1,                0.98167,                0.79019,                 0.8694,                0.80513,                 1.1568,              7.426e-05,              7.426e-05,              7.426e-05
                     42,                 0.8503,                0.73915,                 1.0741,                0.86991,                      1,                0.98167,                0.78764,                0.86389,                0.79531,                 1.1498,               7.36e-05,               7.36e-05,               7.36e-05
                     43,                0.89501,                0.74187,                 1.0831,                 0.8644,                      1,                0.98167,                0.79019,                0.84917,                 0.7861,                 1.1397,              7.294e-05,              7.294e-05,              7.294e-05
                     44,                0.88318,                0.76586,                  1.102,                0.86073,                      1,                0.98167,                0.79019,                 0.8341,                0.76762,                 1.1311,              7.228e-05,              7.228e-05,              7.228e-05
                     45,                0.92034,                0.78836,                 1.1302,                0.85737,                      1,                0.98167,                0.79019,                0.82542,                0.75315,                 1.1242,              7.162e-05,              7.162e-05,              7.162e-05
                     46,                0.84307,                0.66964,                 1.0702,                      1,                0.96705,                  0.995,                0.79953,                0.82152,                0.72529,                  1.117,              7.096e-05,              7.096e-05,              7.096e-05
                     47,                0.82894,                0.68127,                 1.0775,                      1,                0.97078,                  0.995,                0.79953,                0.81648,                0.71006,                 1.1111,               7.03e-05,               7.03e-05,               7.03e-05
                     48,                0.86294,                0.71717,                 1.1146,                      1,                0.97559,                  0.995,                0.80858,                0.80071,                0.68303,                  1.102,              6.964e-05,              6.964e-05,              6.964e-05
                     49,                   0.79,                0.66263,                 1.0582,                      1,                0.98214,                  0.995,                0.80858,                0.79112,                0.68246,                  1.096,              6.898e-05,              6.898e-05,              6.898e-05
                     50,                0.83157,                 0.6603,                 1.0827,                      1,                0.99167,                  0.995,                0.80358,                0.77078,                 0.6755,                 1.0875,              6.832e-05,              6.832e-05,              6.832e-05
                     51,                0.79457,                 0.6237,                 1.0455,                0.98999,                      1,                  0.995,                0.80445,                0.76077,                0.67387,                 1.0805,              6.766e-05,              6.766e-05,              6.766e-05
                     52,                0.79134,                0.59863,                 1.0585,                0.96993,                      1,                  0.995,                0.79307,                0.75385,                0.64326,                 1.0722,                6.7e-05,                6.7e-05,                6.7e-05
                     53,                0.81588,                0.62739,                 1.0716,                0.96833,                      1,                  0.995,                0.79106,                0.75255,                0.64486,                 1.0695,              6.634e-05,              6.634e-05,              6.634e-05
                     54,                0.80492,                0.61559,                 1.0655,                0.96553,                      1,                  0.995,                0.80958,                0.75672,                0.62883,                 1.0692,              6.568e-05,              6.568e-05,              6.568e-05
                     55,                0.80362,                0.61064,                 1.0807,                0.95537,                      1,                  0.995,                0.80958,                0.75288,                0.63087,                 1.0633,              6.502e-05,              6.502e-05,              6.502e-05
                     56,                0.81225,                0.60222,                 1.0813,                0.93817,                      1,                  0.995,                0.81166,                0.74832,                0.60192,                 1.0579,              6.436e-05,              6.436e-05,              6.436e-05
                     57,                0.76266,                0.57135,                 1.0466,                 0.9411,                      1,                  0.995,                0.81166,                0.74531,                0.60195,                 1.0554,               6.37e-05,               6.37e-05,               6.37e-05
                     58,                0.78537,                0.56102,                 1.0801,                0.94334,                      1,                  0.995,                0.81166,                0.74425,                0.59178,                 1.0531,              6.304e-05,              6.304e-05,              6.304e-05
                     59,                0.77671,                0.56836,                 1.0441,                0.94243,                      1,                  0.995,                0.81166,                0.74573,                0.58299,                 1.0522,              6.238e-05,              6.238e-05,              6.238e-05
                     60,                0.75273,                0.54198,                 1.0191,                0.92549,                      1,                  0.995,                0.82796,                0.73755,                0.57504,                 1.0485,              6.172e-05,              6.172e-05,              6.172e-05
                     61,                  0.797,                0.56407,                 1.0658,                0.91914,                      1,                  0.995,                0.80445,                0.73065,                0.57433,                 1.0456,              6.106e-05,              6.106e-05,              6.106e-05
                     62,                0.78105,                0.57676,                 1.0459,                0.91146,                      1,                  0.995,                0.82796,                0.72927,                0.56254,                 1.0438,               6.04e-05,               6.04e-05,               6.04e-05
                     63,                0.82321,                0.55524,                 1.0935,                0.90162,                      1,                  0.995,                0.82682,                0.72511,                0.56127,                 1.0426,              5.974e-05,              5.974e-05,              5.974e-05
                     64,                0.74689,                0.52036,                 1.0389,                0.88663,                      1,                  0.995,                0.82682,                0.71463,                0.55036,                 1.0397,              5.908e-05,              5.908e-05,              5.908e-05
